Ethereum Historical Data - Investing.com(1)
Date;Price
Jun 14, 2019;262.53
Jun 13, 2019;254.86
Jun 12, 2019;261.54
Jun 11, 2019;244.41
Jun 10, 2019;246.86
Jun 09, 2019;231.27
Jun 08, 2019;243.42
Jun 07, 2019;248.98
Jun 06, 2019;248.54
Jun 05, 2019;245.83
Jun 04, 2019;241.26
Jun 03, 2019;250.37
Jun 02, 2019;269.01
Jun 01, 2019;264.31
May 31, 2019;267.99
May 30, 2019;254.52
May 29, 2019;268.61
May 28, 2019;271.18
May 27, 2019;270.98
May 26, 2019;264.68
May 25, 2019;250.68
May 24, 2019;249.17
May 23, 2019;244.68
May 22, 2019;244.34
May 21, 2019;253.76
May 20, 2019;250.72
May 19, 2019;259.63
May 18, 2019;233.89
May 17, 2019;244.45
May 16, 2019;264.69
May 15, 2019;248.15
May 14, 2019;217.42
May 13, 2019;196.02
May 12, 2019;188.07
May 11, 2019;192.27
May 10, 2019;172.77
May 09, 2019;170.84
May 08, 2019;170.77
May 07, 2019;169.34
May 06, 2019;173.00
May 05, 2019;163.03
May 04, 2019;163.68
May 03, 2019;167.86
May 02, 2019;161.66
May 01, 2019;160.38
Apr 30, 2019;161.80
Apr 29, 2019;154.93
Apr 28, 2019;158.27
Apr 27, 2019;159.41
Apr 26, 2019;157.97
Apr 25, 2019;155.18
Apr 24, 2019;165.22
Apr 23, 2019;169.95
Apr 22, 2019;170.87
Apr 21, 2019;168.52
Apr 20, 2019;172.73
Apr 19, 2019;172.79
Apr 18, 2019;173.33
Apr 17, 2019;165.90
Apr 16, 2019;165.65
Apr 15, 2019;160.17
Apr 14, 2019;167.29
Apr 13, 2019;163.19
Apr 12, 2019;163.47
Apr 11, 2019;164.36
Apr 10, 2019;177.37
Apr 09, 2019;175.09
Apr 08, 2019;179.16
Apr 07, 2019;174.33
Apr 06, 2019;165.55
Apr 05, 2019;164.93
Apr 04, 2019;157.43
Apr 03, 2019;160.34
Apr 02, 2019;163.47
Apr 01, 2019;141.50
Mar 31, 2019;141.79
Mar 30, 2019;142.65
Mar 29, 2019;143.38
Mar 28, 2019;138.15
Mar 27, 2019;139.65
Mar 26, 2019;134.37
Mar 25, 2019;134.25
Mar 24, 2019;136.44
Mar 23, 2019;137.53
Mar 22, 2019;136.42
Mar 21, 2019;135.11
Mar 20, 2019;139.31
Mar 19, 2019;138.72
Mar 18, 2019;137.92
Mar 17, 2019;138.91
Mar 16, 2019;141.15
Mar 15, 2019;136.75
Mar 14, 2019;132.45
Mar 13, 2019;131.97
Mar 12, 2019;133.80
Mar 11, 2019;132.99
Mar 10, 2019;135.72
Mar 09, 2019;137.52
Mar 08, 2019;133.85
Mar 07, 2019;136.93
Mar 06, 2019;137.62
Mar 05, 2019;136.82
Mar 04, 2019;125.97
Mar 03, 2019;131.01
Mar 02, 2019;132.76
Mar 01, 2019;135.72
Feb 28, 2019;135.47
Feb 27, 2019;135.20
Feb 26, 2019;136.67
Feb 25, 2019;138.27
Feb 24, 2019;132.93
Feb 23, 2019;158.30
Feb 22, 2019;147.97
Feb 21, 2019;145.78
Feb 20, 2019;149.11
Feb 19, 2019;144.01
Feb 18, 2019;145.80
Feb 17, 2019;133.79
Feb 16, 2019;122.87
Feb 15, 2019;121.73
Feb 14, 2019;120.97
Feb 13, 2019;122.22
Feb 12, 2019;122.64
Feb 11, 2019;121.30
Feb 10, 2019;124.92
Feb 09, 2019;119.44
Feb 08, 2019;119.23
Feb 07, 2019;104.55
Feb 06, 2019;104.63
Feb 05, 2019;107.37
Feb 04, 2019;107.90
Feb 03, 2019;107.62
Feb 02, 2019;110.68
Feb 01, 2019;106.98
Jan 31, 2019;106.71
Jan 30, 2019;108.52
Jan 29, 2019;104.79
Jan 28, 2019;105.82
Jan 27, 2019;112.50
Jan 26, 2019;115.83
Jan 25, 2019;115.50
Jan 24, 2019;116.71
Jan 23, 2019;116.84
Jan 22, 2019;118.23
Jan 21, 2019;116.05
Jan 20, 2019;117.52
