,etherscan,opensea,owned,ethereums_spent,dollar_spent,ethereums_earned,dollar_earned,First_punk,Last_punk
2120,0x8cb33d,0,1,25.92,88682.0,0.0,0.0,"Mar 1, 2021","Mar 1, 2021"
2121,0x8abfca,0,1,4.25,14541.0,0.0,0.0,"Jan 21, 2021","Jan 21, 2021"
2122,0xb2dca3,0,1,0.0,0.0,0.0,0.0,"Jan 31, 2021","Jan 31, 2021"
2123,0xaee55f,0,1,0.0,0.0,0.0,0.0,"Feb 15, 2021","Feb 15, 2021"
2124,0x655a03,0,1,0.0,0.0,0.0,0.0,"Aug 9, 2021","Aug 9, 2021"
2125,0x789e8d,1,1,0.0,0.0,35.0,119748.0,"Jan 16, 2018","Jan 16, 2018"
2126,0x2b18e9,0,1,169.5,579921.0,110.0,376350.0,none,none
2127,0x5fbee9,0,1,19.69,67367.0,0.0,0.0,"Apr 9, 2021","Apr 9, 2021"
2128,0x576b41,0,1,125.0,427670.0,0.0,0.0,"Aug 5, 2021","Aug 5, 2021"
2129,0x28f442,1,1,0.0,0.0,0.0,0.0,"Jan 13, 2018","Jan 13, 2018"
2130,0xa23dea,0,1,0.0,0.0,0.0,0.0,"Jul 16, 2021","Jul 16, 2021"
2131,0x582b21,0,1,0.0,0.0,0.0,0.0,"Jun 24, 2017","Jun 24, 2017"
2132,0x300fd0,0,1,1.82,6227.0,0.0,0.0,"May 24, 2020","May 24, 2020"
2133,0x3dae9a,0,1,0.0,0.0,936.19,3200000.0,"Jul 22, 2017","Jul 22, 2017"
2134,0x871f66,0,1,0.0,0.0,0.0,0.0,"Jun 24, 2017","Jun 24, 2017"
2135,0x297289,0,1,0.0,0.0,249.0,851919.0,"Jan 13, 2021","Jan 13, 2021"
2136,0x07e158,0,1,0.0,0.0,0.0,0.0,"Jun 27, 2017","Jun 27, 2017"
2137,0xa31cdc,0,1,353.74,1210000.0,266.9,913161.0,none,none
2138,0xfb1841,0,1,26.97,92274.0,42.0,143697.0,"Mar 12, 2021","Mar 12, 2021"
2139,0x4f3cf0,0,1,145.0,496097.0,0.0,0.0,none,none
2140,0xdc5b96,0,1,228.0,780070.0,97.2,332556.0,none,none
2141,0xb693ec,0,1,19.5,66717.0,0.0,0.0,"Apr 9, 2021","Apr 9, 2021"
2142,0xd7cc2d,0,1,0.0,0.0,0.0,0.0,"Aug 11, 2021","Aug 11, 2021"
2143,0x065b4b,0,1,0.0,0.0,0.0,0.0,"Aug 16, 2021","Aug 16, 2021"
2144,0xf03372,0,1,0.0,0.0,79.99,273675.0,none,none
2145,0xca11d1,0,1,4.99,17073.0,0.0,0.0,"Jan 13, 2021","Jan 13, 2021"
2146,0x7ccd2e,0,1,98.3,336320.0,0.0,0.0,"Apr 11, 2021","Apr 11, 2021"
2147,0x25054f,0,1,63.96,218830.0,0.0,0.0,"Aug 6, 2021","Aug 6, 2021"
2148,0xe268cb,0,1,0.0,0.0,0.0,0.0,"May 18, 2021","May 18, 2021"
2149,0xd76040,0,1,0.0,0.0,0.0,0.0,"Jun 16, 2021","Jun 16, 2021"
2150,0xf50791,0,1,0.0,0.0,0.0,0.0,none,none
2151,0x42f7c5,0,1,59.5,203558.0,120.0,410563.0,"Mar 24, 2021","May 4, 2021"
